URL,Category,Traffic (%),Number of Keywords,Traffic,,,,,,,,,,,,
https://www.mahindrafinance.com/blogs/fixed-deposit/variable-costs-vs-fixed-costs,Blogs,0.16,53,440,0,1,39,0,0,0,0,440,0,0,0,-732
https://www.mahindrafinance.com/loans/car-loan/maruti-suzuki-ertiga-car-loan-emi-calculator,Informational Page,0.16,17,429,,,,,,,,,,,,
https://www.mahindrafinance.com/faq/28-what-is-imt-23-cover,Informational Page,0.15,36,403,,,,,,,,,,,,
https://branch.mahindrafinance.com/friends-colony-hazaribagh-jharkhand-branch/,Non-Blog,0.15,7,399,0,0,0,4,2,0,0,0,399,0,0,0
https://www.mahindrafinance.com/blogs/car-loan/maruti-suzuki-grand-vitara-waiting-period?utm_source=WhatsApp&medium=Auto-Message&campaign=General,Blogs,0.14,1,394,0,0,1,0,0,0,0,394,0,0,0,394
https://branch.mahindrafinance.com/jivanvihar-raipur-chhattisgarh-branch/,Non-Blog,0.13,2,349,0,0,0,1,2,0,0,0,88,349,0,261
https://branch.mahindrafinance.com/mahim-mumbai-maharashtra-branch/,Non-Blog,0.12,11,316,0,0,0,6,4,0,0,0,315,9,0,-9
https://www.mahindrafinance.com/loans/tractor-loan,Non-Blog,0.11,55,307,0,2,10,1,2,0,7,184,112,1,0,-70
https://www.mahindrafinance.com/investment/fixed-deposit/monthly-interest-for-five-lakh-fixed-deposit,Non-Blog,0.11,21,304,0,2,10,1,1,0,0,304,0,0,0,255
https://www.mahindrafinance.com/blogs/fixed-deposit/liquid-funds-vs-fixed-deposit,Blogs,0.11,41,298,0,21,33,0,1,0,187,283,0,0,0,34
https://www.mahindrafinance.com/customer-service/payments,Non-Blog,0.1,66,277,0,0,16,14,3,0,0,129,146,9,0,48
https://www.mahindrafinance.com/customer-service/emi-moratorium-policy,Informational Page,0.1,31,272,,,,,,,,,,,,
https://branch.mahindrafinance.com/pimpalgaonbaswant-pimpalgaon-baswant-maharashtra-branch/,Non-Blog,0.1,3,271,0,2,0,2,1,0,266,0,266,5,0,-3
https://www.mahindrafinance.com/blogs/car-loan/how-to-check-your-vehicle-loan-status-online?utm_source=website&amp;utm_medium=button&amp;utm_campaign=how_to_apply&amp;utm_term=apply_now&amp;utm_content=hl,Blogs,0.09,52,261,0,4,29,18,13,0,23,75,174,19,0,205
https://www.mahindrafinance.com/customer-service/payments/india-post-payments-bank,Non-Blog,0.09,24,261,0,1,6,8,4,0,8,216,37,204,0,-8
https://www.mahindrafinance.com/blogs/home-loan/what-is-a-home-loan-meaning-benefits-importance,Blogs,0.09,28,249,0,0,12,0,0,0,0,246,0,0,0,-54
https://www.mahindrafinance.com/customer-service/payments/quick-pay/faqs,Non-Blog,0.08,28,229,0,0,7,4,0,0,0,74,183,0,0,-44
https://www.mahindrafinance.com/loans/car-loan/wagon-r-car-loan-emi-calculator,Informational Page,0.08,18,224,,,,,,,,,,,,
https://www.mahindrafinance.com/blogs/fixed-deposit/fd-vs-debt-funds,Blogs,0.08,24,215,0,8,14,1,1,0,92,136,0,0,0,127
https://www.mahindrafinance.com/sme-loans/machinery-loan/cnc-machinery-loan,Non-Blog,0.07,3,208,0,0,1,0,0,0,0,208,0,0,0,-544
https://branch.mahindrafinance.com/indiranagar-lucknow-uttar-pradesh-branch/,Non-Blog,0.07,7,200,0,0,0,5,3,0,0,0,200,88,0,0
https://www.mahindrafinance.com/sme-loans/machinery-loan,Non-Blog,0.07,42,199,0,6,20,0,3,0,25,179,0,16,0,-29
https://www.mahindrafinance.com/investment/fixed-deposit/monthly-interest-for-five-lakh-fixed-deposit?utm_source=FD+Vacation&amp;utm_medium=X&amp;utm_campaign=FD+Vacation&amp;utm_term=X&amp;utm_content=X,Non-Blog,0.07,6,198,0,0,3,0,0,0,0,198,0,0,0,198
https://www.mahindrafinance.com/blogs/car-loan/understanding-zero-down-payment-car-loan?utm_source=SM&amp;utm_medium=redirect&amp;utm_campaign=orm&amp;utm_id=1,Blogs,0.07,18,195,0,6,10,0,3,0,57,139,0,110,0,60
https://investmentsolutions.mahindrafinance.com/,Non-Blog,0.07,18,194,0,3,0,7,6,0,24,0,170,82,0,-52
https://www.mahindrafinance.com/blogs/commercial-vehicle-loan/what-is-a-commercial-vehicle-types-of-commercial-vehicle,Blogs,0.07,17,192,0,1,8,0,1,0,2,187,0,0,0,-5
https://www.mahindrafinance.com/blogs/car-loan/how-to-check-your-vehicle-loan-status-online?utm_source=SM&amp;utm_medium=redirect&amp;utm_campaign=orm&amp;utm_id=1,Blogs,0.07,57,192,0,3,35,13,14,0,25,165,27,4,0,109
https://branch.mahindrafinance.com/nashikdwarkacorner-nashik-maharashtra-branch/,Non-Blog,0.06,13,180,0,2,1,4,2,0,44,4,132,113,0,31
https://www.mahindrafinance.com/dsa-partners,Non-Blog,0.06,40,178,0,6,13,1,2,0,29,142,0,11,0,0
https://www.mahindrafinance.com/customer-service/whatsapp,Non-Blog,0.06,113,174,0,0,21,19,7,0,0,50,136,38,0,-36
https://www.mahindrafinance.com/faq/who-is-eligible-for-pm-kisan-tractor-yojana,Informational Page,0.06,43,173,,,,,,,,,,,,
https://branch.mahindrafinance.com/chromepet-chennai-tamilnadu-branch/,Non-Blog,0.06,3,168,0,1,0,1,1,0,0,0,168,168,0,0
https://branch.mahindrafinance.com/saibabacolony-coimbatore-tamilnadu-branch/,Non-Blog,0.06,1,168,0,0,0,1,0,0,0,0,168,0,0,0
https://www.mahindrafinance.com/blogs/fixed-deposit/what-is-the-monthly-interest-on-30-lakh-fd?utm_source=website&amp;utm_medium=organic&amp;utm_campaign=top_banner&amp;utm_term=apply_now&amp;utm_content=pl,Blogs,0.06,4,165,0,0,4,0,0,0,0,165,0,0,0,165
https://vehicleloan.mahindrafinance.com/UI/QuickPayStatus.aspx,Non-Blog,0.06,33,164,0,0,9,5,1,0,0,159,159,0,0,-1
https://www.mahindrafinance.com/customer-service/emi-moratorium-policy?utm_source=Facebook&amp;utm_medium=Facebook&amp;utm_campaign=FD+breaking+news,Informational Page,0.06,5,159,,,,,,,,,,,,
https://www.mahindrafinance.com/blogs/car-loan/how-to-get-a-car-loan-with-bad-credit-score?utm_source=SM&amp;utm_medium=redirect&amp;utm_campaign=orm&amp;utm_id=1,Blogs,0.05,2,157,0,2,1,0,0,0,157,7,0,0,0,-45
https://www.mahindrafinance.com/loans/three-wheeler-loan,Non-Blog,0.05,31,156,0,9,9,4,3,0,146,23,3,1,0,-12
https://www.mahindrafinance.com/loans/commercial-vehicle-loan/emi-calculator,Informational Page,0.05,109,152,,,,,,,,,,,,
https://www.mahindrafinance.com/loans/commercial-vehicle-loan,Non-Blog,0.05,92,145,0,5,19,4,1,0,7,144,1,0,0,-25
https://www.mahindrafinance.com/loans/utility-vehicle-loan/tata-ace-gold-emi-calculator,Informational Page,0.05,14,143,,,,,,,,,,,,
https://www.mahindrafinance.com/blogs/loan-against-vehicle/what-is-hypothecation,Blogs,0.05,33,139,0,0,17,1,0,0,0,138,0,0,0,-73
https://www.mahindrafinance.com/blogs/car-loan/maruti-suzuki-grand-vitara-waiting-period,Blogs,0.05,4,138,0,0,3,0,0,0,0,138,0,0,0,-40
https://www.mahindrafinance.com/customer%20care,Non-Blog,0.05,24,138,0,1,8,4,4,0,0,17,121,121,0,4
https://www.mahindrafinance.com/sme-loans/auction-notices,Non-Blog,0.05,6,137,0,0,3,0,1,0,0,137,0,88,0,-19
https://branch.mahindrafinance.com/kphbcolony-kukatpally-telangana-branch/,Non-Blog,0.05,3,136,0,1,0,1,0,0,136,0,136,0,0,0
https://branch.mahindrafinance.com/durgapura-jaipur-rajasthan-branch/,Non-Blog,0.05,3,136,0,0,0,2,2,0,0,0,136,136,0,0
https://www.mahindrafinance.com/loans/utility-vehicle-loan/mahindra-bolero-pikup-emi-calculator,Informational Page,0.05,40,135,,,,,,,,,,,,
https://www.mahindrafinance.com/blogs/car-loan/20-4-10-rule-for-buying-a-car?utm_source=website&amp;utm_medium=organic&amp;utm_campaign=top_banner&amp;utm_term=apply_now&amp;utm_content=cvl,Blogs,0.04,99,130,0,30,51,13,18,0,28,81,4,28,0,-1161
https://www.mahindrafinance.com/loans/home-loan/emi-calculator,Informational Page,0.04,115,129,,,,,,,,,,,,
https://branch.mahindrafinance.com/ratu-ranchi-jharkhand-branch/,Non-Blog,0.04,5,126,0,0,0,3,3,0,0,0,126,126,0,0
https://www.mahindrafinance.com/loans/car-loan/renault-kwid-car-loan-emi-calculator,Informational Page,0.04,12,124,,,,,,,,,,,,
https://www.mahindrafinance.com/blogs/fixed-deposit/term-deposit-vs-fixed-deposit,Blogs,0.04,22,120,0,5,12,0,0,0,92,120,0,0,0,32
https://www.mahindrafinance.com/investment/fixed-deposit/monthly-interest-for-ten-lakh-fixed-deposit?utm_source=SM&amp;utm_medium=redirect&amp;utm_campaign=orm&amp;utm_id=1,Non-Blog,0.04,10,120,0,0,9,0,1,0,0,120,0,0,0,120
https://branch.mahindrafinance.com/jpnagar7thphase-bengaluru-karnataka-branch/,Non-Blog,0.04,1,118,0,0,0,1,1,0,0,0,118,118,0,0
https://branch.mahindrafinance.com/thanewest-thane-maharashtra-branch/contact-us,Non-Blog,0.04,19,114,0,4,3,1,3,0,23,88,2,88,0,-23
https://branch.mahindrafinance.com/chovva-kannur-kerala-branch/contact-us,Non-Blog,0.04,11,113,0,1,0,4,0,0,1,0,112,0,0,112
https://branch.mahindrafinance.com/vijaynagar-indore-madhya-pradesh-branch/,Non-Blog,0.04,2,113,0,0,0,2,0,0,0,0,113,0,0,0
https://branch.mahindrafinance.com/cuttackservicerd-rasulgarh-bhubaneswar-odisha-branch/,Non-Blog,0.04,6,113,0,0,0,2,2,0,0,0,113,113,0,0
https://branch.mahindrafinance.com/kochadai-madurai-tamilnadu-branch/,Non-Blog,0.04,9,113,0,0,0,2,0,0,0,0,113,0,0,113
https://branch.mahindrafinance.com/royalnagar-tirupathi-andhra-pradesh-branch/,Non-Blog,0.04,6,113,0,1,0,2,0,0,0,0,113,0,0,113
https://www.mahindrafinance.com/sme-loans/business-loan,Informational Page,0.04,26,112,,,,,,,,,,,,
https://branch.mahindrafinance.com/a-p-u-of-health-sciences-vijayawad-branch-ro-andhra-pradesh-branch/,Non-Blog,0.04,1,112,0,0,0,1,0,0,0,0,112,0,0,0
https://branch.mahindrafinance.com/lachitnagar-guwahati-assam-branch/,Non-Blog,0.04,7,112,0,1,0,2,2,0,0,0,112,112,0,0
https://branch.mahindrafinance.com/wadi-nagpur-maharashtra-branch/,Non-Blog,0.04,2,112,0,0,0,2,0,0,0,0,112,0,0,0
https://www.mahindrafinance.com/topic/quick-pay,Non-Blog,0.04,17,109,0,1,2,6,0,0,0,50,109,0,0,0
